2021-01-07 01:44:53.4772 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_A_Qty1() 
2021-01-07 01:44:56.3503 | INFO | ProjAssignment.LoggingHelper | Order # 58780 processing started
2021-01-07 01:44:56.3503 | INFO | ProjAssignment.LoggingHelper | Order # 58780 Validation Started
2021-01-07 01:44:56.3752 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:56.3752 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:56.3752 | INFO | ProjAssignment.LoggingHelper | Order # 58780 Validation Ended
2021-01-07 01:44:56.3828 | INFO | ProjAssignment.LoggingHelper | Order # 58780 Amount Calculation Started
2021-01-07 01:44:56.3828 | INFO | ProjAssignment.LoggingHelper | Item Name: A, Amount: 59.9
2021-01-07 01:44:56.3969 | INFO | ProjAssignment.LoggingHelper | Order # 58780  Total Amount = 60
2021-01-07 01:44:56.3969 | INFO | ProjAssignment.LoggingHelper | Order # 58780 Ended
2021-01-07 01:44:56.3969 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_A_Qty1() 
--------------------
2021-01-07 01:44:56.4825 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_A_Qty10() 
2021-01-07 01:44:56.5795 | INFO | ProjAssignment.LoggingHelper | Order # 99894 processing started
2021-01-07 01:44:56.5795 | INFO | ProjAssignment.LoggingHelper | Order # 99894 Validation Started
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Order # 99894 Validation Ended
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Order # 99894 Amount Calculation Started
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Item Name: A, Amount: 419.3
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Order # 99894  Total Amount = 419
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | Order # 99894 Ended
2021-01-07 01:44:56.5834 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_A_Qty10() 
--------------------
2021-01-07 01:44:56.5985 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_B_Qty1() 
2021-01-07 01:44:56.6838 | INFO | ProjAssignment.LoggingHelper | Order # 94330 processing started
2021-01-07 01:44:56.6838 | INFO | ProjAssignment.LoggingHelper | Order # 94330 Validation Started
2021-01-07 01:44:56.6838 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:56.6838 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:56.6838 | INFO | ProjAssignment.LoggingHelper | Order # 94330 Validation Ended
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | Order # 94330 Amount Calculation Started
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | Item Name: B, Amount: 399
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | Order # 94330  Total Amount = 399
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | Order # 94330 Ended
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_B_Qty1() 
--------------------
2021-01-07 01:44:56.6929 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_B_Qty5() 
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Order # 88766 processing started
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Order # 88766 Validation Started
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Order # 88766 Validation Ended
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Order # 88766 Amount Calculation Started
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Item Name: B, Amount: 1797
2021-01-07 01:44:56.7902 | INFO | ProjAssignment.LoggingHelper | Order # 88766  Total Amount = 1797
2021-01-07 01:44:56.8021 | INFO | ProjAssignment.LoggingHelper | Order # 88766 Ended
2021-01-07 01:44:56.8021 | INFO | ProjAssignment.LoggingHelper | End of Unit Test : Void TestItem_B_Qty5() 
--------------------
2021-01-07 01:44:56.8021 | INFO | ProjAssignment.LoggingHelper | Start of Unit Test : Void TestItem_C_Qty1() 
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Order # 35445 processing started
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Order # 35445 Validation Started
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Num of valid items: 1
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Num of In-valid items: 0
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Order # 35445 Validation Ended
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Order # 35445 Amount Calculation Started
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Item Name: C, Amount: 19.54
2021-01-07 01:44:56.8977 | INFO | ProjAssignment.LoggingHelper | Order # 35445  Total Amount = 20
2021-01-07 01:44:56.9120 | INFO | ProjAssignment.LoggingHelper | Order # 35445 Ended
